miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT003590,bta-miR-130b,Bos taurus,SNAPIN,511816,Bos taurus,qRT-PCR,Functional MTI (Weak),19170227
MIRT003591,bta-miR-130b,Bos taurus,MET,280855,Bos taurus,qRT-PCR,Functional MTI (Weak),19170227
MIRT003592,bta-miR-125a,Bos taurus,MAP3K11,514210,Bos taurus,qRT-PCR,Functional MTI (Weak),19170227
MIRT004568,bta-miR-125a,Bos taurus,ADAMTSL2,526780,Bos taurus,qRT-PCR,Functional MTI (Weak),19170227
MIRT007159,bta-miR-17-5p,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23206268
MIRT007160,bta-miR-20b,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23206268
MIRT007161,bta-miR-93,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23206268
MIRT007161,bta-miR-93,Bos taurus,HMGB3,613729,Bos taurus,Luciferase reporter assay,Functional MTI,23221399
MIRT053091,bta-miR-27b,Bos taurus,MSTN,281187,Bos taurus,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23510267
MIRT053491,bta-miR-15b,Bos taurus,SLC30A4,540869,Bos taurus,qRT-PCR,Functional MTI (Weak),22959936
MIRT053492,bta-miR-15b,Bos taurus,FASN,281152,Bos taurus,qRT-PCR,Functional MTI (Weak),22959936
MIRT053493,bta-miR-15b,Bos taurus,BTN1A1,282157,Bos taurus,qRT-PCR,Functional MTI (Weak),22959936
MIRT053707,bta-miR-15b,Bos taurus,FOS,280795,Bos taurus,qRT-PCR,Functional MTI (Weak),22959936
MIRT053709,bta-miR-15b,Bos taurus,ADRB2,281605,Bos taurus,qRT-PCR,Functional MTI (Weak),22959936
MIRT053710,bta-miR-15b,Bos taurus,UBE2Q1,505133,Bos taurus,qRT-PCR,Functional MTI (Weak),22959936
MIRT053797,bta-miR-10a,Bos taurus,ARG2,518752,Bos taurus,qRT-PCR,Functional MTI (Weak),22959936
MIRT053798,bta-miR-10a,Bos taurus,STAT3,508541,Bos taurus,qRT-PCR,Functional MTI (Weak),22959936
MIRT053799,bta-miR-10a,Bos taurus,ACTG1,404122,Bos taurus,qRT-PCR,Functional MTI (Weak),22959936
