"miRTarBase ID","miRNA","Species (miRNA)","Target Gene","Target Gene (Entrez ID)","Species (Target Gene)","Experiments","Support Type","References (PMID)"
"MIRT000515","dre-miR-125b-5p","Danio rerio","tp53","30590","Danio rerio","Luciferase reporter assay//Western blot","Functional MTI","20216554"
"MIRT000515","dre-miR-125b-5p","Danio rerio","tp53","30590","Danio rerio","In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;qRT-PCR;Other","Functional MTI","19293287"
"MIRT000515","dre-miR-125b-5p","Danio rerio","tp53","30590","Danio rerio","Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","21935352"
"MIRT000923","dre-miR-10b-5p","Danio rerio","hoxb3a","30339","Danio rerio","phenotypic sensor assay","Functional MTI","18167555"
"MIRT000924","dre-miR-10a-5p","Danio rerio","hoxb3a","30339","Danio rerio","phenotypic sensor assay","Functional MTI","18167555"
"MIRT000944","dre-miR-214","Danio rerio","disp2","405793","Danio rerio","GFP reporter assay//Western blot","Functional MTI","18583362"
"MIRT001134","dre-miR-430a-3p","Danio rerio","gstm","324366","Danio rerio","GFP reporter assay","Functional MTI","16484454"
"MIRT002099","dre-miR-126a-3p","Danio rerio","pik3r2","404211","Danio rerio","Western blot//Luciferase reporter assay","Functional MTI","18694566"
"MIRT002099","dre-miR-126a-3p","Danio rerio","pik3r2","404211","Danio rerio","Luciferase reporter assay//Western blot","Functional MTI","20216554"
"MIRT002100","dre-miR-126a-3p","Danio rerio","vcam1","561971","Danio rerio","Western blot//Luciferase reporter assay","Functional MTI","18694566"
"MIRT002101","dre-miR-126a-3p","Danio rerio","spred1","406513","Danio rerio","Luciferase reporter assay//Western blot","Functional MTI","18694566"
"MIRT002101","dre-miR-126a-3p","Danio rerio","spred1","406513","Danio rerio","Luciferase reporter assay//Western blot","Functional MTI","20216554"
"MIRT002295","dre-miR-9-5p","Danio rerio","her9","140613","Danio rerio","GFP reporter assay//Western blot","Functional MTI","18454145"
"MIRT002433","dre-miR-200b-3p","Danio rerio","lfng","30158","Danio rerio","GFP reporter assay","Functional MTI","18184563"
"MIRT002435","dre-miR-200a-3p","Danio rerio","lfng","30158","Danio rerio","GFP reporter assay","Functional MTI","18184563"
"MIRT002494","dre-miR-214","Danio rerio","sufu","100001615","Danio rerio","GFP reporter assay//Immunohistochemistry//In situ hybridization//Northern blot//Western blot","Functional MTI","17220889"
"MIRT003008","dre-miR-196b","Danio rerio","hoxb8a","30343","Danio rerio","real-time RT-PCR","Functional MTI (Weak)","18096665"
"MIRT003049","dre-miR-430c-3p","Danio rerio","lft2","30146","Danio rerio","GFP reporter assay","Functional MTI","17761850"
"MIRT003188","dre-miR-145-5p","Danio rerio","gata6","58076","Danio rerio","GFP reporter assay//Luciferase reporter assay//qRT-PCR//Reporter assay;qRT-PCR;Other","Functional MTI","19805048"
"MIRT003188","dre-miR-145-5p","Danio rerio","gata6","58076","Danio rerio","qRT-PCR","Functional MTI (Weak)","22609551"
"MIRT003612","dre-miR-133c-3p","Danio rerio","tpm3","373076","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003613","dre-miR-133b-3p","Danio rerio","tpm3","373076","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003614","dre-miR-133a-3p","Danio rerio","tpm3","373076","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003615","dre-miR-133c-3p","Danio rerio","dpm1","445202","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003616","dre-miR-133b-3p","Danio rerio","dpm1","445202","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003617","dre-miR-133a-3p","Danio rerio","dpm1","445202","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003618","dre-miR-133c-3p","Danio rerio","snx5","406797","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003619","dre-miR-133b-3p","Danio rerio","snx5","406797","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003620","dre-miR-133a-3p","Danio rerio","snx5","406797","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003621","dre-miR-133c-3p","Danio rerio","smarcd1","323115","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003622","dre-miR-133b-3p","Danio rerio","smarcd1","323115","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003623","dre-miR-133a-3p","Danio rerio","smarcd1","323115","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003627","dre-miR-133c-3p","Danio rerio","pfn2l","321383","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003628","dre-miR-133b-3p","Danio rerio","pfn2l","321383","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003629","dre-miR-133a-3p","Danio rerio","pfn2l","321383","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003639","dre-miR-1","Danio rerio","pfn2l","321383","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003640","dre-miR-1","Danio rerio","rab13","373105","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003642","dre-miR-1","Danio rerio","smarca5","282615","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003643","dre-miR-1","Danio rerio","idh1","100006589","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003644","dre-miR-1","Danio rerio","arpc4l","445305","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003646","dre-miR-1","Danio rerio","copz1","57970","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003647","dre-miR-1","Danio rerio","spryd7b","393498","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003650","dre-miR-1","Danio rerio","cnn3a","326931","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003651","dre-miR-1","Danio rerio","actb1","57934","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003652","dre-miR-1","Danio rerio","ddx18","321127","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003653","dre-miR-1","Danio rerio","atp6v1ba","359839","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003654","dre-miR-1","Danio rerio","cnn2","406658","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003655","dre-miR-1","Danio rerio","arcn1b","399661","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003656","dre-miR-1","Danio rerio","atp6v0d1","322811","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003657","dre-miR-1","Danio rerio","pdlim1","550568","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT003806","dre-miR-9-5p","Danio rerio","her5","30285","Danio rerio","GFP reporter assay//Western blot","Functional MTI","18454145"
"MIRT004040","dre-miR-200a-3p","Danio rerio","zeb1b","114425","Danio rerio","GFP reporter assay","Functional MTI","18184563"
"MIRT004041","dre-miR-200b-3p","Danio rerio","zeb1b","114425","Danio rerio","GFP reporter assay","Functional MTI","18184563"
"MIRT004269","dre-miR-203a-3p","Danio rerio","tp63","260407","Danio rerio","Luciferase reporter assay","Functional MTI","18311128"
"MIRT004298","dre-miR-430b-3p","Danio rerio","mknk2b","373121","Danio rerio","GFP reporter assay","Non-Functional MTI","16484454"
"MIRT004299","dre-miR-430b-3p","Danio rerio","arl6ip5b","436790","Danio rerio","GFP reporter assay","Functional MTI","16484454"
"MIRT004300","dre-miR-430b-3p","Danio rerio","sdr16c5b","406799","Danio rerio","GFP reporter assay","Functional MTI","16484454"
"MIRT004301","dre-miR-430a-3p","Danio rerio","parn","791461","Danio rerio","GFP reporter assay","Functional MTI","16484454"
"MIRT004302","dre-miR-430a-3p","Danio rerio","nme2b.1","30083","Danio rerio","GFP reporter assay","Functional MTI","16484454"
"MIRT004303","dre-miR-430a-3p","Danio rerio","sdr16c5b","406799","Danio rerio","GFP reporter assay","Functional MTI","16484454"
"MIRT004365","dre-miR-150","Danio rerio","cmyb","30519","Danio rerio","Luciferase reporter assay//qRT-PCR//Reporter assay","Functional MTI","18667440"
"MIRT004434","dre-miR-203a-3p","Danio rerio","lef1","30701","Danio rerio","Western blot","Functional MTI","20216554"
"MIRT004444","dre-miR-9-5p","Danio rerio","fgfr1a","30705","Danio rerio","GFP reporter assay//Western blot","Functional MTI","18454145"
"MIRT004444","dre-miR-9-5p","Danio rerio","fgfr1a","30705","Danio rerio","In situ hybridization//qRT-PCR","Functional MTI (Weak)","23800254"
"MIRT004464","dre-miR-9-5p","Danio rerio","cnpy1","402819","Danio rerio","GFP reporter assay//Western blot","Functional MTI","18454145"
"MIRT004511","dre-miR-9-5p","Danio rerio","fgf8a","30538","Danio rerio","GFP reporter assay//Western blot","Functional MTI","18454145"
"MIRT004555","dre-miR-1","Danio rerio","slc9a3r1","327272","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
"MIRT004556","dre-miR-1","Danio rerio","alg9","393598","Danio rerio","Luciferase reporter assay","Functional MTI","19240126"
