"miRTarBase ID","miRNA","Species (miRNA)","Target Gene","Target Gene (Entrez ID)","Species (Target Gene)","Experiments","Support Type","References (PMID)"
"MIRT000616","gga-miR-2131-5p","Gallus gallus","FAS","395274","Gallus gallus","Luciferase reporter assay","Non-Functional MTI","20103699"
"MIRT000617","gga-miR-2131-5p","Gallus gallus","MED1","420004","Gallus gallus","Luciferase reporter assay","Functional MTI","20103699"
"MIRT000618","gga-miR-2131-5p","Gallus gallus","ERBB4","395671","Gallus gallus","Luciferase reporter assay","Functional MTI","20103699"
"MIRT000619","gga-miR-2131-5p","Gallus gallus","FHL2","418726","Gallus gallus","Luciferase reporter assay","Functional MTI","20103699"
"MIRT000620","gga-miR-2131-5p","Gallus gallus","NOS2","395807","Gallus gallus","Luciferase reporter assay","Functional MTI","20103699"
"MIRT000621","gga-miR-2131-5p","Gallus gallus","KLF1","424577","Gallus gallus","Luciferase reporter assay","Functional MTI","20103699"
"MIRT000624","gga-miR-2131-5p","Gallus gallus","E2F8","422978","Gallus gallus","Luciferase reporter assay","Non-Functional MTI","20103699"
"MIRT000625","gga-miR-10a-5p","Gallus gallus","KLF11","421934","Gallus gallus","Luciferase reporter assay","Functional MTI","20103699"
"MIRT003905","gga-miR-124a-3p","Gallus gallus","LAMC1","424442","Gallus gallus","GFP reporter assay//Immunohistochemistry//In situ hybridization//Luciferase reporter assay//Northern blot//qRT-PCR","Functional MTI","17344415"
"MIRT003906","gga-miR-124a-3p","Gallus gallus","ITGB1","374058","Gallus gallus","GFP reporter assay//Immunohistochemistry//In situ hybridization//Luciferase reporter assay//Northern blot//qRT-PCR","Functional MTI","17344415"
"MIRT004428","gga-miR-2131-5p","Gallus gallus","CREB1","395099","Gallus gallus","Luciferase reporter assay","Functional MTI","20103699"
"MIRT004429","gga-miR-2131-5p","Gallus gallus","ELOVL5","428646","Gallus gallus","Luciferase reporter assay","Non-Functional MTI","20103699"
"MIRT005366","gga-miR-1a-3p","Gallus gallus","HAND2","395813","Gallus gallus","Luciferase reporter assay","Functional MTI","15951802"
"MIRT005443","gga-miR-138-5p","Gallus gallus","EZH2","420784","Gallus gallus","Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","21070394"
"MIRT005498","gga-miR-9-5p","Gallus gallus","FOXP1","416092","Gallus gallus","GFP reporter assay//In situ hybridization//Luciferase reporter assay//Western blot","Functional MTI","21248104"
"MIRT005542","gga-miR-221-3p","Gallus gallus","MDM2","395609","Gallus gallus","Flow//Microarray//qRT-PCR//Western blot","Functional MTI","20576614"
"MIRT006160","gga-miR-365-3p","Gallus gallus","HDAC4","374207","Gallus gallus","Luciferase reporter assay//Microarray//qRT-PCR//Western blot","Functional MTI","21856783"
"MIRT006238","gga-miR-15b-5p","Gallus gallus","ATF2","395727","Gallus gallus","Luciferase reporter assay","Functional MTI","22178800"
"MIRT006239","gga-let-7i","Gallus gallus","ATF2","395727","Gallus gallus","Luciferase reporter assay","Non-Functional MTI","22178800"
"MIRT006241","gga-miR-456-3p","Gallus gallus","ATF2","395727","Gallus gallus","Luciferase reporter assay","Non-Functional MTI","22178800"
"MIRT016023","gga-miR-128-3p","Gallus gallus","FOXP1","416092","Gallus gallus","Reporter assay","Functional MTI","21248104"
"MIRT016024","gga-miR-221-3p","Gallus gallus","SOX9","374148","Gallus gallus","Western blot","Non-Functional MTI","20576614"
"MIRT016025","gga-miR-221-3p","Gallus gallus","FN1","396133","Gallus gallus","Western blot","Non-Functional MTI","20576614"
"MIRT053170","gga-miR-375","Gallus gallus","YAP1","396171","Gallus gallus","Luciferase reporter assay//Microarray//qRT-PCR//Western blot","Functional MTI","24694742"
"MIRT053500","gga-miR-1812-5p","Gallus gallus","SLC13A2","427830","Gallus gallus","qRT-PCR//Fluorescence reporter assay","Functional MTI","23100621"
"MIRT053501","gga-miR-1620","Gallus gallus","SLC13A2","427830","Gallus gallus","qRT-PCR//Fluorescence reporter assay","Functional MTI","23100621"
"MIRT053502","gga-miR-1764-3p","Gallus gallus","SLC13A2","427830","Gallus gallus","qRT-PCR//Fluorescence reporter assay","Functional MTI","23100621"
"MIRT053503","gga-miR-1555-3p","Gallus gallus","SLC35B4","416698","Gallus gallus","qRT-PCR//Fluorescence reporter assay","Functional MTI","23100621"
"MIRT053504","gga-miR-1612","Gallus gallus","SLC35B4","416698","Gallus gallus","qRT-PCR//Fluorescence reporter assay","Functional MTI","23100621"
"MIRT053506","gga-miR-1741","Gallus gallus","SLC35B4","416698","Gallus gallus","qRT-PCR//Fluorescence reporter assay","Functional MTI","23100621"
"MIRT053507","gga-miR-1700","Gallus gallus","SLC35B4","416698","Gallus gallus","qRT-PCR//Fluorescence reporter assay","Functional MTI","23100621"
