miRNA,Target,Sum
hsa-let-7a-2-3p,TP53INP1,2
hsa-let-7a-3p,HAT1,2
hsa-let-7a-5p,AGO1,4
hsa-let-7a-5p,AMMECR1,2
hsa-let-7a-5p,APP,2
hsa-let-7a-5p,ARG2,3
hsa-let-7a-5p,AURKB,2
hsa-let-7a-5p,BCL2,3
hsa-let-7a-5p,CASP3,3
hsa-let-7a-5p,CASP8,2
hsa-let-7a-5p,CASP9,2
hsa-let-7a-5p,CCND2,4
hsa-let-7a-5p,CCR7,3
hsa-let-7a-5p,CDC34,2
hsa-let-7a-5p,CDK6,4
hsa-let-7a-5p,CDKN1A,2
hsa-let-7a-5p,DICER1,4
hsa-let-7a-5p,E2F1,2
hsa-let-7a-5p,E2F2,4
hsa-let-7a-5p,EGR3,2
hsa-let-7a-5p,EIF2C4,2
hsa-let-7a-5p,EWSR1,4
hsa-let-7a-5p,EZH2,4
hsa-let-7a-5p,FOXA1,2
hsa-let-7a-5p,HMGA1,5
hsa-let-7a-5p,HMGA2,5
hsa-let-7a-5p,HNRPDL,2
hsa-let-7a-5p,HRAS,4
hsa-let-7a-5p,IGF2,2
hsa-let-7a-5p,IGF2BP1,3
hsa-let-7a-5p,IL6,4
hsa-let-7a-5p,ITGB3,4
hsa-let-7a-5p,KRAS,5
hsa-let-7a-5p,LIN28A,3
hsa-let-7a-5p,lin-41,2
hsa-let-7a-5p,MEIS1,2
hsa-let-7a-5p,MYC,3
hsa-let-7a-5p,NDUFA4P1,2
hsa-let-7a-5p,NEFM,2
hsa-let-7a-5p,NF2,5
hsa-let-7a-5p,NFKB1,3
hsa-let-7a-5p,NKIRAS2,4
hsa-let-7a-5p,NR1I2,2
hsa-let-7a-5p,NRAS,4
hsa-let-7a-5p,PAK1,3
hsa-let-7a-5p,PRDM1,4
hsa-let-7a-5p,RAB40C,4
hsa-let-7a-5p,RAVER2,3
hsa-let-7a-5p,RRM2,4
hsa-let-7a-5p,SLC20A1,3
hsa-let-7a-5p,THBS1,3
hsa-let-7a-5p,TNFRSF10B,2
hsa-let-7a-5p,TRIM71,2
hsa-let-7a-5p,TRIM71,3
hsa-let-7a-5p,TUSC2,2
hsa-let-7a-5p,UHRF1,4
hsa-let-7a-5p,UHRF2,4
hsa-let-7a-5p,VDR,2
hsa-let-7a-5p,wech,2
hsa-let-7a-5p,ZFP36L1,2
hsa-let-7b-3p,CASP3,3
hsa-let-7b-3p,HAT1,2
hsa-let-7b-5p,AARSD1,2
hsa-let-7b-5p,ACACA,2
hsa-let-7b-5p,ACTG1,3
hsa-let-7b-5p,ACVR1,3
hsa-let-7b-5p,AGO1,4
hsa-let-7b-5p,AKAP8,3
hsa-let-7b-5p,AKT2,3
hsa-let-7b-5p,ALG3,2
hsa-let-7b-5p,ANAPC1,5
hsa-let-7b-5p,ARID3A,3
hsa-let-7b-5p,ARL15,2
hsa-let-7b-5p,ATAD3B,2
hsa-let-7b-5p,ATG9A,2
hsa-let-7b-5p,ATP2A2,2
hsa-let-7b-5p,ATP6V0A1,2
hsa-let-7b-5p,ATP6V1F,3
hsa-let-7b-5p,AURKA,2
hsa-let-7b-5p,AURKB,2
hsa-let-7b-5p,BAZ1B,2
hsa-let-7b-5p,BCL7A,3
hsa-let-7b-5p,BIRC6,2
hsa-let-7b-5p,C1orf27,2
hsa-let-7b-5p,C20orf72,2
hsa-let-7b-5p,C2orf18,2
hsa-let-7b-5p,CALCOCO2,2
hsa-let-7b-5p,CAPG,2
hsa-let-7b-5p,CARHSP1,2
hsa-let-7b-5p,CBFB,2
hsa-let-7b-5p,CCBL2,2
hsa-let-7b-5p,CCDC115,2
hsa-let-7b-5p,CCNA2,3
hsa-let-7b-5p,CCND1,6
hsa-let-7b-5p,CCND2,4
hsa-let-7b-5p,CCNF,3
hsa-let-7b-5p,CCNJ,2
hsa-let-7b-5p,CDC25A,5
hsa-let-7b-5p,CDC34,5
hsa-let-7b-5p,CDCA7,2
hsa-let-7b-5p,CDIPT,2
hsa-let-7b-5p,CDK6,4
hsa-let-7b-5p,CDKAL1,3
hsa-let-7b-5p,CHD3,2
hsa-let-7b-5p,CHD4,2
hsa-let-7b-5p,CHMP2A,2
hsa-let-7b-5p,CHPF2,2
hsa-let-7b-5p,CIAO1,2
hsa-let-7b-5p,CLUH,2
hsa-let-7b-5p,COIL,2
hsa-let-7b-5p,COL3A1,3
hsa-let-7b-5p,COMMD9,2
hsa-let-7b-5p,CPEB1,3
hsa-let-7b-5p,CPEB3,3
hsa-let-7b-5p,CPEB4,3
hsa-let-7b-5p,CPED1,2
hsa-let-7b-5p,CSNK1D,2
hsa-let-7b-5p,CTHRC1,3
hsa-let-7b-5p,CTPS1,2
hsa-let-7b-5p,CYP2J2,3
hsa-let-7b-5p,DCTPP1,2
hsa-let-7b-5p,DHX57,3
hsa-let-7b-5p,DIAPH1,2
hsa-let-7b-5p,DLC1,2
hsa-let-7b-5p,DMD,2
hsa-let-7b-5p,DOCK5,2
hsa-let-7b-5p,DSP,3
hsa-let-7b-5p,DUSP12,2
hsa-let-7b-5p,DUSP23,2
hsa-let-7b-5p,DZIP1,2
hsa-let-7b-5p,E2F5,2
hsa-let-7b-5p,E2F6,3
hsa-let-7b-5p,EDEM3,3
hsa-let-7b-5p,EIF2C3,2
